Provincia_usuario,Provincia_equivalente,Zona_climatica
Albacete,Ciudad Real,continental
Granada,Almería,semiarido
Castellón,Valencia,mediterraneo
Alicante,Valencia,mediterraneo
Barcelona,Tarragona,mediterraneo
Toledo,Ciudad Real,continental
Córdoba,Badajoz,mediterraneo
Huelva,Badajoz,mediterraneo
Sevilla,Badajoz,mediterraneo
Huesca,Zaragoza,continental
Teruel,Zaragoza,continental
Lérida,Tarragona,mediterraneo
Guadalajara,Ciudad Real,continental
Cuenca,Ciudad Real,continental
Soria,Zaragoza,continental
Burgos,Segovia,mediterraneo
Palencia,Segovia,mediterraneo
Salamanca,Badajoz,mediterraneo
Ávila,Segovia,mediterraneo
León,Segovia,mediterraneo
Valladolid,Segovia,mediterraneo
Murcia,Murcia,semiarido
Valencia,Valencia,mediterraneo
Tarragona,Tarragona,mediterraneo
Almería,Almería,semiarido
Badajoz,Badajoz,mediterraneo
Lleida,Lleida,continental
Ciudad Real,Ciudad Real,continental
Zaragoza,Zaragoza,continental
Navarra,Navarra,mediterraneo
Málaga,Málaga,mediterraneo
Las Palmas,Las Palmas,mediterraneo
